name_fr,description_pt,category,gluten,milk,egg,peanut,soy,price,active,source_pdf,source_date,price_raw
"PETITPAIN
AULAIT","massa de pão de leite
com manteiga e ovos",Desserts,TRUE,TRUE,TRUE,,,0.50,TRUE,Plano etiquetas pão MIOSOTIS 8-11-24.pdf,2024-11-08,"0,50€"
PURPLE HAZE,"Mousse Cream Cheese
Croustillant Amande,
Biscuit Amande, Confit
Myrtille Cassis et Violette",Desserts,TRUE,TRUE,TRUE,TRUE,,6.80,TRUE,Plano etiquetas Purple Haze May 25.pdf,2025-05-01,"6,80€"
"TARTE
AU CHOCOLAT","Massa sablée de cacau - biscoito de cacau
ganache batida de chocolate 70
caramelo - noz pecan",Desserts,TRUE,TRUE,TRUE,TRUE,TRUE,6.50,TRUE,Plano etiquetas Purple Haze May 25.pdf,2025-05-01,"6,50€"
"TARTE
AU CITRON","Massa sablée - biscoito de avelã
cremoso de citrinos- natas montadas
com baunilha – gel de citrinos",Desserts,TRUE,TRUE,TRUE,TRUE,TRUE,7.00,TRUE,New Prices June 2025.pdf,2025-06-01,7€/ 27€/ 35€/ 45€
"TARTE TANGO
FRAMBOESA","Massa Sablé, Creme de Amêndoa
Confit de Framboesa e Pimentão",Desserts,TRUE,TRUE,TRUE,TRUE,,6.00,TRUE,New Paris Brest May 2025.pdf,2025-05-01,"6,00€"
"TARTE TANGO
MORANGO","Massa Sablé, Creme de Amêndoa
Confit de Morango e Manjericão",Desserts,TRUE,TRUE,TRUE,TRUE,,6.00,TRUE,Plano etiquetas Purple Haze May 25.pdf,2025-05-01,"6,00€"
"TARTEAU
CHOCOLAT
TARTE TANGO
MORANGO
FRAISIER
CHOCOLAT-CHOCOLAT","Crocante de chocolate, biscuit de chocolate
cremoso de chocolate com fava tonka
e mousse de chocolate 66%",Desserts,,,,,,8.00,TRUE,2 Mai 2025.pdf,2025-05-02,"8,00€"
"TARTEBORDALOUE
PeraEscafaldaemXaropede
Baunilha,CremedeAmêndoa,
Amêndoa,MassaSablée",,Desserts,TRUE,TRUE,TRUE,TRUE,TRUE,4.30,TRUE,New Paris Brest May 2025.pdf,2025-05-01,"4,30€"
TARTETROPEZIENNE,"Massa de Brioche, Creme de Baunilha
compota de Kumquat, Açugar perolado",Desserts,,,,,,35.00,TRUE,Plano etiquetas CHOUQUETTES (PASTELARIA-pastries) .pdf,,"35,00€ / 4,50€"
TIRAMISU,"Esponja Embebido em Café e
Amaretto, Mousse de
Mascarpone e Amaretto",Desserts,,,,,,6.00,TRUE,New Prices June 2025.pdf,2025-06-01,"6,00€"
"TIRAMISU
EsponjaEmbebidoem Cafée
Amaretto,Moussede
MascarponeeAmaretto",,Desserts,,,,,,6.00,TRUE,New Prices June 2025.pdf,2025-06-01,"6,00€"
TOMATO&RICOTTA,,Desserts,TRUE,TRUE,TRUE,,,2.80,TRUE,New Paris Brest May 2025.pdf,2025-05-01,"2,80€"
"ÉCLAIRVERY,VERY
CHOCOLAT","Massa choux com chocolate, creme de
chocolate 100% cacau de Madagàscar,
glaçage de chocolate",Desserts,TRUE,TRUE,TRUE,,,6.90,TRUE,New Paris Brest May 2025.pdf,2025-05-01,"6,90€"
ÉCLAIRau CAFÉ,"massa choux, creme de café blend
Lully 1661, glaçage de café",Desserts,TRUE,TRUE,TRUE,,,4.30,TRUE,2 Mai 2025.pdf,2025-05-02,"4,30€"
ÉCLAIRau CARAMEL,"Massa choux, creme de caramelo
salgado, glaçage de caramelo",Desserts,TRUE,TRUE,TRUE,,,4.80,TRUE,2 Mai 2025.pdf,2025-05-02,"4,80€"
ÉCLAIRau CHOCOLAT,"Massa choux, creme de chocolate
100% cacau de Madagàscar,
glaçage de chocolate",Desserts,TRUE,TRUE,TRUE,,,4.60,TRUE,2 Mai 2025.pdf,2025-05-02,"4,60€"
"CRUFF-
MONSIEUR",Sauce Béchamel et Jambom,Snacks,TRUE,TRUE,TRUE,,,5.80,TRUE,Plano etiquetas snacks 13-6-24 - Campo Cruffins sales.pdf,2024-06-13,"5,80€"
FIAMBRECASEIRO,"Fiambre, Manteiga & Cornichons
(extra Comté)*",Snacks,TRUE,TRUE,TRUE,TRUE,,6.00,TRUE,Plano etiquetas snacks 13-6-24 - Campo Cruffins sales.pdf,2024-06-13,"6,00€ / *6,50€"
LULLY'SSANDES,,Snacks,,,,,,3.80,TRUE,Plano etiquetas snacks 13-6-24 - LULLYS SANDES.pdf,2024-06-13,"3,80€"
MOZARELLA FRESCA,"Salsichão caseiro com alho, pesto de pistácio e
salsa, mix de salada, servido em pão ciabatta",Snacks,TRUE,TRUE,TRUE,TRUE,TRUE,7.00,TRUE,Plano etiquetas snacks 13-6-24 - Campo Cruffins sales.pdf,2024-06-13,"7,00€"
"QUICHE
LORRAINE","Bacon,Comté, Emental,
Pimenta, Noz Moscada
+1 Salada*",Snacks,TRUE,TRUE,TRUE,,,6.00,TRUE,Plano etiquetas snacks 13-6-24 - Campo Cruffins sales.pdf,2024-06-13,"6,00€"
"QUICHE
VEGETARIENNE","abóbora, nozes, queijo azul
Fourme d'Ambert",Snacks,TRUE,TRUE,TRUE,,,6.00,TRUE,Plano etiquetas Special Nov 24.pdf,2024-11-01,"6,00€"
QUICHETOMATE,"Tomate seco caseiro,mozarela
fresca. manjericão e cebolino
+1 Salada*",Snacks,TRUE,TRUE,TRUE,,,6.00,TRUE,Plano etiquetas snacks 13-6-24 - Campo.pdf,2024-06-13,"6,00€ / *7,50€"
TYRELL'S,Lightly Sea Salted - 40g,Snacks,,,,,,1.70,TRUE,New Prices June 2025.pdf,2025-06-01,"1,70€"
"FrutosSecosCristalizados:
NozPecan,Avelã
PistachioseAmêndoa",,Dry Goods,TRUE,TRUE,TRUE,,,8.90,TRUE,Plano etiquetas FRUTOS Secos Nov 24.pdf,2024-11-01,"8,90€"
